title,who,what,keywords_bert
'돼지 신장' 이식 받은 50대 뇌사자…32일 넘게 정상기능 [헬스케어 인사이드],미국 바이오기업인 리비비코어(Revivicor)에서 공급했습니다. 이 회사는 2020년 12월 미국 식품의약국,뇌사로 장기기증,"['뇌사자…32일', ""신장'"", '리비비코어(Revivicor)에서', '[헬스케어', ""'돼지"", '인사이드]', '뇌사로', '장기기증', '바이오기업인', '회사는']"
광주에서 부전까지 두 시간이면 간다,국가철도공단,경전선의 유일한 비전철구간인 광주역과 순천역 사이를 전철화로 개량,"['간다', '두', '개량', '전철화로', '사이를', '순천역', '광주역과', '비전철구간인', '유일한', '경전선의']"
"트럼프 기소 권고한 美 조지아주 대배심들 ""신변 위협 느껴""",조지아주 풀턴카운티 검찰,도널드 트럼프 미국 전 대통령의 2020년 조지아주 대선 개입 혐의,"['검찰', '""신변', '전', '느껴""', '미국', '혐의', '조지아주', '기소', '권고한', '조지아주']"
"농심, 전남 완도군과 42년째 인연…햇다시마 355t 구매",농심농심,전남 완도군 다시마 경매 현장,"['인연…햇다시마', '현장', '경매', '다시마', '완도군', '전남', '농심농심', '구매', '355t', '42년째']"
"""교육 방법을 혁신하자""…교수설계 경연 진행한 북한",북한 노동당 ,"교육부문에서 우수한 교육 방법을 창조 도입하기 위한 사업이 힘있게 벌어지고 있다""며 ""얼마 전에도 교육위원회에서는 교원양성부문 대학들의 교수설계 경연을 조직했다""라고 보도했다. 사진은 김형직사범대학. [국내에서만 사용가능. 재배포 금지. DB 금지. For Use Only in the Republic of Korea","['보도했다.', '김형직사범대학.', '사용가능.', '금지.', '금지.', '교육', '혁신하자""…교수설계', '[국내에서만', '조직했다""라고', '""얼마']"
"'6관왕→발롱도르→월드컵' 모든 걸 가진 메시, ""발롱도르 욕심 없다…PSG 이적은 불행""",MLS 사무국,신종 코로나 바이러스 팬데믹,"['없다…PSG', ""'6관왕→발롱도르→월드컵'"", '""발롱도르', '팬데믹', '바이러스', '코로나', '신종', '사무국', 'MLS', '이적은']"
"에픽게임즈, 에픽 온라인 서비스 ‘콘솔 크로스 플레이’ 무료 지원",언리얼엔진을 쓰는 게임 개발자,"에픽 온라인 서비스는 현재 수백 개의 게임에서 대규모로 사용되고 있다. 사용 중인 게임엔진에 상관없이 게임 개발을 지원하고, 모든 스토어와 플랫폼에 배포할 수 있다.","['서비스', '현재', '개의', '플레이’', '‘콘솔', '게임', '게임', '에픽게임즈,', '지원하고,', '온라인']"
"이상민 행안부 장관, 제2회 지방세발전위 회의",행정안전부 ,뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.,"['기다립니다.', '반영하겠습니다.', '사진영상부(n-photo@newsis.com)로', '장관,', '사진', '적극', '보내주시면', '여러분의', '행안부', '제2회']"
"신진서 9단, 셰커와 응씨배 결승 3국…21일부터 격돌",중국,신종 코로나바이러스 감염증,"['3국…21일부터', '중국', '감염증', '코로나바이러스', '신종', '격돌', '결승', '응씨배', '셰커와', '신진서']"
"신한은행-아동권리보장원-굿네이버스, 청소년 자립 지원 금융교육 '맞손'","아동권리보장원, 굿네이버스",아동양육시설 청소년들의 안전한 자립,"['신한은행-아동권리보장원-굿네이버스,', ""'맞손'"", '청소년', '자립', '안전한', '청소년들의', '아동양육시설', '굿네이버스', '금융교육', '자립']"
"[김문환의 세계사] 함무라비 법전, 판결 오류 판사 12배 배상에 영구 추방",귀족이나 부유층,국내 대기업과 미국 기업의 특허 분쟁,"['[김문환의', '국내', '특허', '함무라비', '판결', '오류', '판사', '12배', '배상에', '분쟁']"
말레이 여객기 도로에 수직 추락…엄청난 화염 치솟았다,말레이시아 ,말레이시아 소형여객기 추락 사고 ,"['추락…엄청난', '추락', '소형여객기', '말레이시아', '말레이시아', '치솟았다', '화염', '수직', '도로에', '여객기']"
"마이크로닉스, PNY 지포스 RTX 40 구매 대상 ‘오버워치 2 인베이전 얼티밋 번들’ 증정",한미마이크로닉스,오버워치 2 인베이전 ,"['번들’', '‘오버워치', '40', '대상', '인베이전', '지포스', '오버워치', '한미마이크로닉스', '증정', '얼티밋']"
