title,who,what,keywords_rake
'돼지 신장' 이식 받은 50대 뇌사자…32일 넘게 정상기능 [헬스케어 인사이드],미국 바이오기업인 리비비코어(Revivicor)에서 공급했습니다. 이 회사는 2020년 12월 미국 식품의약국,뇌사로 장기기증,['돼지 신장 이식 뇌사 정상 기능 스케 인사 이드 미국 바이오 기업인 비비 코어 공급 회사 미국 식품 약국 뇌사 장기기증']
광주에서 부전까지 두 시간이면 간다,국가철도공단,경전선의 유일한 비전철구간인 광주역과 순천역 사이를 전철화로 개량,['광주 부전 이면 간다 국가 철도 공단 경전선 전철 구간 광주 순천역 사이 전철 화로 개량']
"트럼프 기소 권고한 美 조지아주 대배심들 ""신변 위협 느껴""",조지아주 풀턴카운티 검찰,도널드 트럼프 미국 전 대통령의 2020년 조지아주 대선 개입 혐의,['트럼프 기소 권고 조지아주 대배심 신변 위협 조지아주 풀턴 카운티 검찰 도널드 트럼프 미국 대통령 조지아주 대선 개입 혐의']
"농심, 전남 완도군과 42년째 인연…햇다시마 355t 구매",농심농심,전남 완도군 다시마 경매 현장,['농심 전남 완도군 인연 다시마 구매 농심 농심 전남 완도군 다시마 경매 현장']
"""교육 방법을 혁신하자""…교수설계 경연 진행한 북한",북한 노동당 ,"교육부문에서 우수한 교육 방법을 창조 도입하기 위한 사업이 힘있게 벌어지고 있다""며 ""얼마 전에도 교육위원회에서는 교원양성부문 대학들의 교수설계 경연을 조직했다""라고 보도했다. 사진은 김형직사범대학. [국내에서만 사용가능. 재배포 금지. DB 금지. For Use Only in the Republic of Korea",['교육 방법 혁신 교수설계 경연 진행 북한 북한 노동당 교육 부문 교육 방법 창조 도입 사업 교육 위원회 교원양성 부문 대학 교수설계 경연 조직 보도 사진 김형직 사범 대학 국내 사용 가능 배포 금지 금지']
"'6관왕→발롱도르→월드컵' 모든 걸 가진 메시, ""발롱도르 욕심 없다…PSG 이적은 불행""",MLS 사무국,신종 코로나 바이러스 팬데믹,['관왕 발롱도르 월드컵 모든 메시 발롱도르 욕심 이적 불행 사무국 신종 코로나 바이러스 팬데믹']
"에픽게임즈, 에픽 온라인 서비스 ‘콘솔 크로스 플레이’ 무료 지원",언리얼엔진을 쓰는 게임 개발자,"에픽 온라인 서비스는 현재 수백 개의 게임에서 대규모로 사용되고 있다. 사용 중인 게임엔진에 상관없이 게임 개발을 지원하고, 모든 스토어와 플랫폼에 배포할 수 있다.",['에픽 게임 에픽 온라인 서비스 콘솔 크로스 플레이 무료 지원 언리얼엔진 게임 개발자 에픽 온라인 서비스 현재 수백 게임 대규모 사용 사용 중인 게임엔진 게임 개발 지원 모든 스토어 플랫폼 배포']
"이상민 행안부 장관, 제2회 지방세발전위 회의",행정안전부 ,뉴시스가 독자 여러분의 소중한 제보를 기다립니다. 뉴스 가치나 화제성이 있다고 판단되는 사진 또는 영상을 뉴시스 사진영상부(n-photo@newsis.com)로 보내주시면 적극 반영하겠습니다.,['이상민 행안부 장관 지방세 발전 회의 행정안전부 뉴시스 독자 제보 뉴스 가치나 화제 판단 사진 영상 뉴시스 사진 상부 적극 반영']
"신진서 9단, 셰커와 응씨배 결승 3국…21일부터 격돌",중국,신종 코로나바이러스 감염증,['신진서 셰커 응씨배 결승 격돌 중국 신종 코로나바이러스 감염증']
"신한은행-아동권리보장원-굿네이버스, 청소년 자립 지원 금융교육 '맞손'","아동권리보장원, 굿네이버스",아동양육시설 청소년들의 안전한 자립,['신한은행 아동권리 보장 굿네이버스 청소년 자립 지원 금융 교육 아동권리 보장 굿네이버스 아동 양육 시설 청소년 자립']
"[김문환의 세계사] 함무라비 법전, 판결 오류 판사 12배 배상에 영구 추방",귀족이나 부유층,국내 대기업과 미국 기업의 특허 분쟁,['환의 세계사 함무라비 법전 판결 오류 판사 배상 영구 추방 귀족 부유 국내 대기업 미국 기업 특허 분쟁']
말레이 여객기 도로에 수직 추락…엄청난 화염 치솟았다,말레이시아 ,말레이시아 소형여객기 추락 사고 ,['말레이 여객기 도로 수직 추락 화염 말레이시아 말레이시아 소형 여객기 추락 사고']
"마이크로닉스, PNY 지포스 RTX 40 구매 대상 ‘오버워치 2 인베이전 얼티밋 번들’ 증정",한미마이크로닉스,오버워치 2 인베이전 ,['마이크로 닉스 지포스 구매 대상 오버 워치 인베이전 얼티밋 증정 한미 마이크로 닉스 오버 워치 인베이전']
서울 오후 2시 서북권·서남권 오존주의보 발령,서울보건환경연구원,오존 주의보,['서울 오후 서북 서남 오존 주의보 발령 서울 보건 환경 연구원 오존 주의보']
"칭따오, 프로 스포츠부터 생활 스포츠까지...스포츠 마케팅 강화",칭따오,엔데믹,['칭따오 프로 스포츠 생활 스포츠 스포츠 마케팅 강화 칭따오 엔데믹']
"윤진호 교촌에프앤비 대표, 쿨코리아 챌린지 동참",한국에너지관리공단,"폭염, 폭우 등 기후 위기 ",['윤진호 교촌 에프 앤비 대표 코리아 린지 동참 한국 에너지 관리 공단 폭염 폭우 기후 위기']
"[뉴스현장] 계속 드러나는 LH 부실 원인들…경찰, 본사 압수수색",LH ,철근누락 사태 ,['뉴스 현장 계속 부실 경찰 본사 압수수색 철근 누락 사태']
'청계 SK뷰' 108가구 분양…22일 1순위 청약 접수,SK에코플랜트,청계 SK뷰 ,['청계 가구 분양 순위 청약 접수 에코 플랜트 청계']
"'김포전 상대 전적 우위' 충북청주, 안방에서 10G 연속 무패행진 도전",한국프로축구연맹 ,김포의 맞대결은 많은 팬들의 이목을 집중시킬 전망이다. 한편 충북청주는 8월 첫 홈경기를 맞아 다채로운 이벤트를 준비했다. 경기 당일 오후 6시 30분부터 서문 블루스토어 부스에서 팬 사인회가 진행된다. 2023 청원생명축제 ,['김포 상대 전적 우위 충북 청주 안방 연속 무패 행진 도전 한국 프로축구 연맹 김포 대결 이목 집중 전망 한편 충북 청주 경기 이벤트 준비 경기 당일 오후 서문 블루 스토어 부스 사인회 진행 청원 생명 축제']
소나기에도 체감 33도 무더위 계속…서울 30㎜·대구 60㎜ [내일날씨],황덕현 ,폭염,['소나기 체감 무더위 계속 서울 대구 날씨 황덕현 폭염']
"""의약품 부작용 피해구제 신청방법, 약 봉투로 확인 가능""",대한약사회 ,"정상적인 의약품 사용에도 불구하고 사망, 장애, 질병 ",['의약품 부작용 피해 구제 신청 방법 봉투 확인 가능 사회 정상 의약품 사용 불구 사망 장애 질병']
"김희선 '6년 경력 단절' 심경 ""애 젖병 물리면서..나이 먹고 늙어 위축됐다""(유퀴즈)[종합]",품위 있는 그녀,경력 단절 공포,['김희선 경력 단절 심경 젖병 나이 위축 퀴즈 종합 품위 그녀 경력 단절 공포']
"[스브스픽] ""빨리 내려!"" 순식간에 버스 집어삼킨 거대한 불길",부아노스아이레스 경찰,고속도로에 멈춘 버스에서 불이 나기 시작하더니 연료까지 새어 나와 거대한 불길이 도로 전체를 집어삼킵니다.현지시간 16일 아르헨티나 부에노스아이레스의 한 고속도로 CCTV 화면입니다.도로를 달리던 버스에서 갑자기 불이 나기 시작하면서 타고 있던 수십 명의 승객들이 긴급 대피,['스브스픽 순식간 버스 불길 부아 노스 이레 경찰 고속도로 버스 나기 시작 연료 불길 도로 전체 현지 아르헨티나 부에노스아이레스 고속도로 화면 도로 버스 갑자기 나기 시작 타고 수십 명의 승객 긴급 대피']
"박세리 인비테이셔널 12년 역사 '굿바이', OK금융그룹 읏맨오픈으로 새출발한다",OK금융그룹,읏뜸그라운드,['박세리 역사 굿바이 금융 그룹 오픈 출발 금융 그룹 읏뜸 라운드']
"밀리의 서재, 김대호 아나운서 포토 에세이 ‘김대호의 사진 일기’ 연재",서영택,"평일에는 MBC 아나운서, 주말에는 인왕산 자연인으로 살아가는 이야기를 생생하게 담아낼 예정이다. 김대호가 직접 촬영한 사진과 위트 넘치는 글이 더해져 보고 읽는 재미를 전해준다.최근 공개된 1화에서는 ‘나 혼자 산다’에서 소개했던 사적 모임 ‘동대문 사단’과 펜션에서 보낸 2박의 이야기",['밀리 서재 김대호 아나운서 포토 에세이 김대호 사진 일기 연재 서영택 평일 아나운서 주말 인왕산 자연인 이야기 예정 김대호 직접 촬영 사진 위트 보고 재미 최근 공개 산다 소개 사적 모임 동대문 사단 펜션 박의 이야기']
이동관 방통위원장 후보자 청문회…'아들 학폭' 공방,강변 아닌가 싶다”고 덧붙였다.앞서 이 후보자는 입장문을 내고 아들의 학폭 의혹을 반박했다. 이 후보자는 “물리다툼은 있었으나 일방가해는 아니며 이후 사과와 화해가 이뤄졌다”고 밝힌바 있다. 강득구 민주당 ,학폭 ,['이동관 방통위 원장 후보자 청문회 아들 학폭 강변 앞서 후보자 입장 아들 학폭 의혹 반박 후보자 물리 다툼 일방 가해 이후 사과 화해 강득구 민주당 학폭']
"모모랜드 나윤, 명지대 예술학부 졸업",명지대학교명지대학교,서울공연예술고등학교 방송연예과,['랜드 나윤 명지대 예술 학부 졸업 명지대 학교 명지대 학교 서울 공연예술 고등학교 방송 연예']
"[사설]부동산발 위기경보 울리는 중국경제, 남의 일 아니다",중국,리먼 브라더스 사태,['사설 부동산 위기 경보 중국 경제 중국 리먼 브라더스 사태']
